Table 1
,,,,,,,
,,,১০২ খুলনা-৪,,,,
,,,,,,,
,কেন্দ্র,মোট ভোটার,আব্দুস সালাম মূর্শেদী ,আজিজুল বারী হেলাল ,প্রদত্ত ভোট,শতকরা হার,
,,,নৌকা ,ধানের শীষ ,,,
,1 44 নং জুঙ্গুশিয়া-২ সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,1198,941,5,963,80.38%,
,2 ২৯ নং ডোমরা সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,1795,1315,45,1424,79.33%,
,3 28 নং আমবাড়িয়া সরকারী প্রাথমিক বিদ্যালয় ২য় তলা,1451,1098,37,1175,80.98%,
,4 ২৭ নং মাঝিরগাতি সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,2366,1911,33,1991,84.15%,
,5 হাজী ছায়েম উদ্দিন মাধ্যমিক বিদ্যালয় নিচ তলা,2066,1478,54,1583,76.62%,
,6 ২৬ নং মোল্যাডাঙ্গা সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,1622,1187,96,1307,80.58%,
,7 33 নং বামনডাঙ্গা সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,1543,1160,40,1221,79.13%,
,8 ৩২ নং মহিষদিয়া সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,1784,1203,39,1283,71.92%,
,9 লাখোহাটি মাধ্যমিক বিদ্যালয় নিচ তলা,3114,2617,166,2904,93.26%,
,10 ২৩ নং লাখোহাটি পুর্ব সরকারী প্রাথমিক বিদ্যালয় ২য় তলা,2974,2122,272,2522,84.80%,
,11 ১৬ নং বারাকপুর সরকারী প্রাথমিক বিদ্যালয় ২য় তলা,2744,1838,184,2086,76.02%,
,12 বারাকপুর মাধ্যমিক বিদ্যালয় নিচ তলা,3109,2088,317,2481,79.80%,
,13 নন্দন প্রতাপ মাধ্যমিক বিদ্যালয় নিচ তলা,1329,1055,40,1120,84.27%,
,14 ১৯ নং আড়ুয়া সর কারী প্রাথমিক বিদ্যালয় ২য় তলা,1266,1015,5,1020,80.57%,
,15 পূর্ব আমবাড়িয়া সরকারী প্রাথমিক বিদ্যালয় নিচ তলা,2169,1681,96,1829,84.32%,
,16 ২১ নং কামারগাতি পূর্ব সরকারী প্রাথমিক বিদ্যালয় ২য় তলা,1336,990,52,1094,81.89%,
