Table 1
,,,০০১ পঞ্চগড়-১ : সংসদ সদস্য,,,,,,,,,,,,,,,,,,
কেন্দ্র,মোট ভোটার,আল রাশেদ প্রধান ,মোঃ আব্দুল্লাহ ,মোঃ সুমন রানা ,শেখ মোঃ- হাবিবুর রহমান ,ব্যারিস্টার মুহম্মদ নওশাদ জমির ,মোঃ মজাহারুল হক প্রধান ,মোঃ আবু সালেক ,মোট বৈধ,মোট বাতিল,প্রদত্ত ভোট,শতকরা হার,,,,,,,,,
,,হুক্কা ,হাত পাখা ,গোলাপ ফুল ,আম ,ধানের শীষ ,নৌকা ,লাঙ্গল ,,,,,,,,,,,,,
"1 বাংলাবান্ধা সরকারী প্রাথমিক বিদ্যালয়, বাংলাবান্ধা বাংলাবান্ধা ",3180,5,5,181,2,693,1957,4,2847,22,2869,90.22%,,,,,,,,,
"2 সিপাইপাড়া সরকারী প্রাথমিক বিদ্যালয়, সিপাইপাড়া, বাংলাবান্ধা সিপাইপাড়া, বাংলাবান্ধা",2774,1,1,76,0,931,1509,1,2519,11,2530,91.20%,,,,,,,,,
"3 ফুটকীবাড়ি সরকারী প্রাথমিক বিদ্যালয়, ফুটকীবাড়ি ফুটকিবাড়ী",1481,4,4,101,3,459,848,0,1419,30,1449,97.84%,,,,,,,,,
"4 গোয়ালগছ সরকারী প্রাথমিক বিদ্যালয়, গোয়ালগছ গোয়ালগছ",2989,1,15,111,1,571,1983,8,2690,132,2822,94.41%,,,,,,,,,
"5 রওশনপুর সরকারী প্রাথমিক বিদ্যালয়, রওশনপুর রওশনপুর",2692,9,15,69,0,1066,1160,7,2326,94,2420,89.90%,,,,,,,,,
"6 ভোলাজোত সরকারী প্রাথমিক বিদ্যালয়, ভোলাজোত ভোলাজোত",1804,11,8,23,1,734,731,0,1508,17,1525,84.53%,,,,,,,,,
"7 ফকিরপাড়া উচ্চ বিদ্যালয়, ফকিরপাড়া ফকিরপাড়া",3388,19,9,130,3,1118,1845,5,3129,54,3183,93.95%,,,,,,,,,
"8 ফকিরপাড়া সরকারী প্রাথমিক বিদ্যালয়, ফকিরপাড়া ফকিরপাড়া",1911,3,8,67,3,578,1076,2,1737,27,1764,92.31%,,,,,,,,,
"9 তিরনইহাট সরকারী প্রাথমিক বিদ্যালয়, তিরনইহাট তিরনইহাট",2888,5,8,70,0,870,1437,6,2396,21,2417,83.69%,,,,,,,,,
"10 গোয়াবাড়ী সরকারি প্রাথমিক বিদ্যালয়, গোয়াবাড়ী গোয়াবাড়ী",1170,1,7,13,0,386,676,2,1085,10,1095,93.59%,,,,,,,,,
"11 বুড়িমুটকী সরকারি প্রাথমিক বিদ্যালয়, বুড়িমুটকী বুরিমুটকি",2453,18,23,2,2,836,1057,8,1946,32,1978,80.64%,,,,,,,,,
"12 মাথাফাটা সরকারী প্রাথমিক বিদ্যালয়, মাথাফাটা মাথাফাটা",2809,59,66,17,2,1091,961,3,2199,17,2216,78.89%,,,,,,,,,
"13 খালপাড়া সরকারী প্রাথমিক বিদ্যালয়, খালপাড়া খালপাড়া",2918,16,37,60,0,1170,1313,0,2596,47,2643,90.58%,,,,,,,,,
"14 তেতুলিয়া পাইলট উচ্চ বিদ্যালয়, মমিনপাড়া, তেতুলিয়া তেঁতুলিয়া",3195,36,22,17,2,806,2095,15,2993,71,3064,95.90%,,,,,,,,,
"15 দর্জিপাড়া সরকারী প্রাথমিক বিদ্যালয়, দর্জিপাড়া দর্জিপাড়া",2502,20,55,8,1,939,1379,5,2407,6,2413,96.44%,,,,,,,,,
"16 শালবাহান উচ্চ বিদ্যালয়, শালবাহান হাট শালবাহান হাট",1960,7,30,29,2,870,908,4,1850,10,1860,94.90%,,,,,,,,,
"17 মুনিগছ সরকারী প্রাথমিক বিদ্যালয়, শালবাহান হাট মুনিগছ,",1978,3,27,24,0,684,898,3,1639,21,1660,83.92%,,,,,,,,,
"18 কালান্দিগঞ্জ সিনিয়র মাদ্রাসা, কালান্দিগঞ্জ কালাব্দিগঞ্জ",2627,8,18,32,6,775,1483,3,2325,11,2336,88.92%,,,,,,,,,
"19 কালান্দিগঞ্জ সরকারী প্রাথমিক বিদ্যালয়, কালান্দিগঞ্জ কালান্দিগঞ্জ",1411,6,16,17,2,380,848,3,1272,6,1278,90.57%,,,,,,,,,
"20 বোয়ালমারী সরকারী প্রাথমিক বিদ্যালয়, বোয়ালমারী বোয়ালমারী",2139,20,93,9,1,809,895,4,1831,41,1872,87.52%,,,,,,,,,
"21 মাঝিপাড়া উচ্চ বিদ্যালয়, শালবাহান রোড, মাঝিপাড়া মাঝিপাড়া",2394,24,53,31,1,808,1230,5,2152,14,2166,90.48%,,,,,,,,,
"22 মাঝিপাড়া সরকারী প্রাথমিক বিদ্যালয়, শালবাহান রোড, মাঝিপাড়া মাঝিপাড়া",2386,16,24,16,0,730,1197,5,1988,26,2014,84.41%,,,,,,,,,
"23 হারাদিঘী উচ্চ বিদ্যালয়, হারাদিঘী হারাদিঘী",2591,3,12,18,0,1652,553,6,2244,28,2272,87.69%,,,,,,,,,
"24 নাওয়াপাড়া সরকারী প্রাথমিক বিদ্যালয়, নাওয়াপাড়া নাওয়াপাড়া",3056,7,38,28,0,1943,586,3,2605,69,2674,87.50%,,,,,,,,,
"25 বুড়াবুড়ি মন্ডলপাড়া সরকারী প্রাথমিক বিদ্যালয়, বুড়াবুড়ি বুড়াবুড়ি",2723,4,12,17,0,2052,331,2,2418,20,2438,89.53%,,,,,,,,,
"26 গিতালগছ সরকারী প্রাথমিক বিদ্যালয়, গিতালগছ গিতালগছ",2945,1,4,44,2,1827,537,4,2419,22,2441,82.89%,,,,,,,,,
"27 ভদ্রেশ্বর সরকারী প্রাথমিক বিদ্যালয়, ভদ্রেশ্বর ভদ্রেশ্বর",1334,1,11,5,1,672,531,1,1222,8,1230,92.20%,,,,,,,,,
28 মালিগছ সরকারী প্রাথমিক বিদ্যালয় মালিগছ,2892,2,36,25,0,2107,339,0,2509,15,2524,87.28%,,,,,,,,,
"29 বেগম ফখরুন্নেছা ফাজিল মাদ্রাসা, ভজনপুর ভজনপুর",2498,1,17,28,0,1750,343,4,2143,4,2147,85.95%,,,,,,,,,
"30 ভজনপুর সরকারী প্রাথমিক বিদ্যালয়, ভজনপুর",2131,4,24,20,0,1313,453,4,1818,29,1847,86.67%,,,,,,,,,
"31 আমজুয়ানী সরকারী প্রাথমিক বিদ্যালয়, আমজুয়ানী আমজুয়ানী",2726,3,42,23,2,1204,1025,3,2302,23,2325,85.29%,,,,,,,,,
"32 ভজনপুর ডিগ্রী কলেজ, কলেজপাড়া ভজনপুর",2432,0,13,30,1,1533,506,5,2088,31,2119,87.13%,,,,,,,,,
"33 মাগুরমারী দফাদারপাড়া সরকারী প্রাথমিক বিদ্যালয়, মাগুরমারী মাগুরমারী",1877,3,17,7,0,1100,477,1,1605,11,1616,86.09%,,,,,,,,,
"34 ভজনপুর দেবনগর সরকারী প্রাথমিক বিদ্যালয়, দেবনগর দেবনগড়",1997,1,8,20,0,1219,378,4,1630,10,1640,82.12%,,,,,,,,,
"35 বাংলাচন্ডী সরকারী প্রাথমিক বিদ্যালয়, বাংলাচন্ডী মানিকডোবা",2878,0,7,12,1,1986,486,7,2499,8,2507,87.11%,,,,,,,,,
"36 বোদা ময়নাগুড়ি উচ্চ বিদ্যালয়, ময়নাগুড়ি ময়নাগুড়ি",1557,4,8,1,0,741,545,3,1302,11,1313,84.33%,,,,,,,,,
"37 শিবচন্ডী সরকারী প্রাথমিক বিদ্যালয়, শিবচন্ডী শিবচন্ডি",2061,0,17,9,0,793,863,0,1682,13,1695,82.24%,,,,,,,,,
"38 করতোয়া কালেক্টরেট আদর্শ শিক্ষা নিকেতন, ডোকরোপাড়া",2845,8,6,7,1,846,1243,8,2119,21,2140,75.22%,,,,,,,,,
"39 করতোয়া আদর্শ শিক্ষা নিকেতন সরকারী প্রাথমিক বিদ্যালয়, ডোকরোপাড়া",2787,21,15,6,0,908,1264,6,2220,51,2271,81.49%,,,,,,,,,
"40 পঞ্চগড় সরকারী বালিকা উচ্চ বিদ্যালয়, ডোকরোপাড়া",4149,42,44,16,1,1142,2090,8,3343,6,3349,80.72%,,,,,,,,,
"41 পঞ্চগড় সরকারী মহিলা কলেজ, রৌশনাবাগ",1932,9,4,23,0,527,665,5,1233,23,1256,65.01%,,,,,,,,,
"42 দারুল উলুম মাদ্রাসা, রৌশনাবাগ",1769,28,16,15,1,504,833,9,1406,25,1431,80.89%,,,,,,,,,
"43 পঞ্চগড় উচ্চ বিদ্যালয়(উত্তর), জালাসী, পঞ্চগড় উত্তর পার্শ্ব মহিলা কেন্দ্র",2122,2,16,4,1,160,1330,2,1515,16,1531,72.15%,,,,,,,,,
"44 পঞ্চগড় উচ্চ বিদ্যালয়(পূর্ব), জালাসী, পঞ্চগড়",2025,4,19,4,0,118,1239,1,1385,15,1400,69.14%,,,,,,,,,
"45 নুর আলা নুর কামিল মাদ্রাসা, কামাতপাড়া",2907,39,32,22,1,582,1429,9,2114,5,2119,72.89%,,,,,,,,,
"46 তুলারডাঙ্গা সরকারী প্রাথমিক বিদ্যালয়, তুলারডাঙ্গা",1458,29,52,6,1,520,546,6,1160,2,1162,79.70%,,,,,,,,,
47 নতুন বস্তি সরকারী প্রাথিমক বিদ্যালয়।,3139,84,23,45,12,376,2054,12,2606,39,2645,84.26%,,,,,,,,,
"48 পঞ্চগড় চিনিকল উচ্চ বিদ্যালয়, চিনিকল কলোনী",2535,6,24,0,0,433,1620,2,2085,13,2098,82.76%,,,,,,,,,
"49 পঞ্চগড়-১ মডেল সরকারী প্রাথিমক বিদ্যালয়, ধাক্কামারা",3089,14,11,2,1,628,883,7,1546,16,1562,50.57%,,,,,,,,,
"50 পঞ্চগড় বি পি সরকারি উচ্চ বিদ্যালয়, ধাক্কামারা",2982,21,8,3,0,500,1194,7,1733,190,1923,64.49%,,,,,,,,,
